phase,batch,file_path,inv_path
phase2,elsberg,LIBRNewsPaperShare/Historic Maryland Newspaper Project - batch_mdu_elsberg  - Date 5182016/,LIBRNewsPaperShare-md5sum/nfs.isip01.nas.umd.edu_ifs_data_LIBR-Archives-Paper-Export_Historic Maryland Newspaper Project - batch_mdu_elsberg  - Date 5182016_work_scan.csv
phase2,fitzgerald,LIBRNewsPaperShare/Historic Maryland Newspaper Project - batch_mdu_fitzgerald  - Date 7122016/,LIBRNewsPaperShare-md5sum/nfs.isip01.nas.umd.edu_ifs_data_LIBR-Archives-Paper-Export_Historic Maryland Newspaper Project - batch_mdu_fitzgerald  - Date 7122016_work_scan.csv
phase2,glass,LIBRNewsPaperShare/Historic Maryland Newspaper Project - batch_mdu_glass  - Date 522017/,LIBRNewsPaperShare-md5sum/nfs.isip01.nas.umd.edu_ifs_data_LIBR-Archives-Paper-Export_Historic Maryland Newspaper Project - batch_mdu_glass  - Date 522017_work_scan.csv
phase2,henson,LIBRNewsPaperShare/Historic Maryland Newspaper Project - batch_mdu_henson  - Date 532017/,LIBRNewsPaperShare-md5sum/nfs.isip01.nas.umd.edu_ifs_data_LIBR-Archives-Paper-Export_Historic Maryland Newspaper Project - batch_mdu_henson  - Date 532017_work_scan.csv
phase2,irving,LIBRNewsPaperShare/Historic Maryland Newspaper Project - batch_mdu_irving  - Date 5222017/,LIBRNewsPaperShare-md5sum/nfs.isip01.nas.umd.edu_ifs_data_LIBR-Archives-Paper-Export_Historic Maryland Newspaper Project - batch_mdu_irving  - Date 5222017_work_scan.csv
phase2,jacobsen,LIBRNewsPaperShare/Historic Maryland Newspaper Project - batch_mdu_jacobsen - Date 5232017/,LIBRNewsPaperShare-md5sum/nfs.isip01.nas.umd.edu_ifs_data_LIBR-Archives-Paper-Export_Historic Maryland Newspaper Project - batch_mdu_jacobsen - Date 5232017_work_scan.csv
phase2,key,LIBRNewsPaperShare/Historic Maryland Newspaper Project - batch_mdu_key - Date 5242017/,LIBRNewsPaperShare-md5sum/nfs.isip01.nas.umd.edu_ifs_data_LIBR-Archives-Paper-Export_Historic Maryland Newspaper Project - batch_mdu_key - Date 5242017_work_scan.csv
phase3,annapolis,LIBRNewsPaperShare/Historic Maryland Newspaper Project - batch_mdu_annapolis - Date 10192017/,LIBRNewsPaperShare-md5sum/nfs.isip01.nas.umd.edu_ifs_data_LIBR-Archives-Paper-Export_Historic Maryland Newspaper Project - batch_mdu_annapolis - Date 10192017_work_scan.csv
phase3,belair,LIBRNewsPaperShare/Historic Maryland Newspaper Project - batch_mdu_belair - Date 10262017/,LIBRNewsPaperShare-md5sum/nfs.isip01.nas.umd.edu_ifs_data_LIBR-Archives-Paper-Export_Historic Maryland Newspaper Project - batch_mdu_belair - Date 10262017_work_scan.csv
phase3,cumberland,LIBRNewsPaperShare/Historic Maryland Newspaper Project - batch_mdu_cumberland - Date 11162017/,LIBRNewsPaperShare-md5sum/nfs.isip01.nas.umd.edu_ifs_data_LIBR-Archives-Paper-Export_Historic Maryland Newspaper Project - batch_mdu_cumberland - Date 11162017_work_scan.csv
phase3,denton,LIBRNewsPaperShare/Historic Maryland Newspaper Project - batch_mdu_denton- Date 2152018/,LIBRNewsPaperShare-md5sum/nfs.isip01.nas.umd.edu_ifs_data_LIBR-Archives-Paper-Export_Historic Maryland Newspaper Project - batch_mdu_denton- Date 2152018_work_scan.csv
phase3,easton,LIBRNewsPaperShare/Historic Maryland Newspaper Project - batch_mdu_easton - Date 2262018/,LIBRNewsPaperShare-md5sum/nfs.isip01.nas.umd.edu_ifs_data_LIBR-Archives-Paper-Export_Historic Maryland Newspaper Project - batch_mdu_easton - Date 2262018_work_scan.csv
